Trainning ...
Done traning
error = 4.323067658271047E-5
error = 4.312275140782956E-5
error = 4.301534778095446E-5
error = 4.290846196201603E-5
error = 4.2802090246516695E-5
error = 4.269622896511449E-5
error = 4.2590874483208005E-5
error = 4.248602320052101E-5
error = 4.238167155070428E-5
error = 4.2277816000939496E-5
error = 4.2174453051533795E-5
error = 4.207157923554888E-5
error = 4.1969191118407135E-5
error = 4.186728529752262E-5
error = 4.176585840192247E-5
error = 4.166490709188965E-5
error = 4.156442805859703E-5
error = 4.1464418023747875E-5
error = 4.136487373923353E-5
error = 4.1265791986778946E-5
error = 4.1167169577608494E-5
error = 4.106900335210123E-5
error = 4.097129017946535E-5
error = 4.08740269574075E-5
error = 4.07772106118094E-5
error = 4.068083809641194E-5
error = 4.0584906392494313E-5
error = 4.048941250857074E-5
error = 4.0394353480081915E-5
error = 4.029972636908906E-5
error = 4.020552826398375E-5
error = 4.011175627918671E-5
error = 4.001840755486361E-5
error = 3.9925479256634095E-5
error = 3.983296857529294E-5
error = 3.9740872726530247E-5
error = 3.964918895065343E-5
error = 3.955791451232321E-5
error = 3.9467046700279494E-5
error = 3.9376582827081394E-5
error = 3.928652022884212E-5
error = 3.9196856264974996E-5
error = 3.910758831793945E-5
error = 3.9018713792991746E-5
error = 3.8930230117929176E-5
error = 3.8842134742862916E-5
error = 3.8754425139956106E-5
error = 3.8667098803200404E-5
error = 3.858015324818129E-5
error = 3.849358601183778E-5
error = 3.840739465224004E-5
error = 3.8321576748361005E-5
error = 3.8236129899854604E-5
error = 3.815105172683619E-5
error = 3.806633986966285E-5
error = 3.798199198872333E-5
error = 3.7898005764217305E-5
error = 3.781437889595772E-5
error = 3.773110910315768E-5
error = 3.764819412422693E-5
error = 3.756563171657191E-5
error = 3.748341965639455E-5
error = 3.7401555738499595E-5
error = 3.732003777610105E-5
error = 3.723886360062311E-5
error = 3.715803106152118E-5
error = 3.707753802608852E-5
error = 3.699738237927585E-5
error = 3.691756202350572E-5
error = 3.6838074878495645E-5
error = 3.675891888107588E-5
error = 3.6680091985021916E-5
error = 3.660159216087747E-5
error = 3.6523417395774196E-5
error = 3.6445565693277616E-5
error = 3.6368035073212755E-5
error = 3.6290823571496495E-5
error = 3.6213929239982874E-5
error = 3.613735014629014E-5
error = 3.6061084373656444E-5
error = 3.5985130020766264E-5
error = 3.590948520160819E-5
error = 3.583414804532124E-5
error = 3.575911669602813E-5
error = 3.568438931270812E-5
error = 3.560996406903022E-5
error = 3.5535839153215554E-5
error = 3.546201276789292E-5
error = 3.538848312995577E-5
error = 3.5315248470415903E-5
error = 3.5242307034273066E-5
error = 3.516965708037089E-5
error = 3.5097296881261084E-5
error = 3.502522472307181E-5
error = 3.495343890537411E-5
error = 3.488193774104835E-5
error = 3.481071955615654E-5
error = 3.473978268981238E-5
error = 3.46691254940564E-5
error = 3.459874633373073E-5
error = 3.452864358635388E-5
error = 3.445881564199485E-5
error = 3.4389260903159224E-5
error = 3.431997778466735E-5
error = 3.425096471353232E-5
error = 3.418222012884798E-5
error = 3.411374248166782E-5
error = 3.404553023489763E-5
error = 3.3977581863176703E-5
error = 3.3909895852769364E-5
error = 3.384247070145262E-5
error = 3.377530491841038E-5
error = 3.3708397024122125E-5
error = 3.364174555025715E-5
error = 3.3575349039570646E-5
error = 3.3509206045795376E-5
error = 3.344331513354764E-5
error = 3.3377674878210834E-5
error = 3.331228386585058E-5
error = 3.324714069310422E-5
error = 3.318224396708606E-5
error = 3.3117592305289046E-5
error = 3.3053184335489896E-5
error = 3.2989018695651695E-5
error = 3.292509403383287E-5
error = 3.286140900808924E-5
error = 3.279796228638642E-5
error = 3.273475254650683E-5
error = 3.2671778475957247E-5
error = 3.260903877188651E-5
error = 3.254653214098937E-5
error = 3.248425729942195E-5
error = 3.242221297272058E-5
error = 3.2360397895706436E-5
error = 3.2298810812413725E-5
error = 3.223745047599418E-5
error = 3.2176315648642124E-5
error = 3.211540510150968E-5
error = 3.205471761462643E-5
error = 3.1994251976822985E-5
error = 3.193400698564413E-5
error = 3.187398144727955E-5
error = 3.1814174176479714E-5
error = 3.175458399648319E-5
error = 3.16952097389384E-5
error = 3.163605024383274E-5
error = 3.157710435941316E-5
error = 3.151837094211566E-5
error = 3.145984885649389E-5
error = 3.1401536975146036E-5
error = 3.134343417864282E-5
error = 3.128553935545755E-5
error = 3.122785140190158E-5
error = 3.117036922204522E-5
error = 3.111309172766023E-5
error = 3.105601783814716E-5
error = 3.09991464804672E-5
error = 3.094247658908133E-5
error = 3.088600710588188E-5
error = 3.082973698012786E-5
error = 3.0773665168381724E-5
error = 3.07177906344462E-5
error = 3.0662112349300726E-5
error = 3.060662929104262E-5
error = 3.055134044482033E-5
error = 3.049624480277884E-5
error = 3.0441341363994687E-5
error = 3.0386629134418973E-5
error = 3.033210712682041E-5
error = 3.0277774360722464E-5
error = 3.0223629862348217E-5
error = 3.0169672664563887E-5
error = 3.0115901806821942E-5
error = 3.006231633510532E-5
error = 3.0008915301872067E-5
error = 2.9955697765998044E-5
error = 2.9902662792728693E-5
error = 2.9849809453618806E-5
error = 2.979713682648513E-5
error = 2.9744643995348688E-5
error = 2.9692330050386225E-5
error = 2.9640194087877925E-5
error = 2.9588235210154232E-5
error = 2.9536452525550946E-5
error = 2.9484845148351816E-5
error = 2.943341219874468E-5
error = 2.9382152802771583E-5
error = 2.9331066092276428E-5
error = 2.9280151204862112E-5
error = 2.922940728383877E-5
error = 2.9178833478180368E-5
error = 2.91284289424754E-5
error = 2.907819283688249E-5
error = 2.9028124327082663E-5
error = 2.897822258423579E-5
error = 2.8928486784935066E-5
error = 2.8878916111163133E-5
error = 2.882950975024784E-5
error = 2.8780266894819253E-5
error = 2.873118674276479E-5
error = 2.868226849718813E-5
error = 2.8633511366368163E-5
error = 2.858491456371273E-5
error = 2.8536477307724255E-5
error = 2.848819882195021E-5
error = 2.8440078334951117E-5
error = 2.8392115080251323E-5
error = 2.8344308296308375E-5
error = 2.829665722646488E-5
error = 2.8249161118916176E-5
error = 2.8201819226669842E-5
error = 2.815463080750407E-5
error = 2.810759512393232E-5
error = 2.8060711443166046E-5
error = 2.8013979037078E-5
error = 2.796739718216285E-5
error = 2.7920965159501786E-5
error = 2.787468225472709E-5
error = 2.782854775798487E-5
error = 2.7782560963900558E-5
error = 2.7736721171543697E-5
error = 2.769102768439229E-5
error = 2.764547981030055E-5
error = 2.760007686145958E-5
error = 2.755481815436922E-5
error = 2.7509703009801737E-5
error = 2.7464730752767362E-5
error = 2.7419900712486302E-5
error = 2.7375212222347197E-5
error = 2.7330664619885268E-5
error = 2.728625724674197E-5
error = 2.7241989448636887E-5
error = 2.7197860575339276E-5
error = 2.7153869980628325E-5
error = 2.711001702227006E-5
error = 2.706630106198382E-5
error = 2.702272146541219E-5
error = 2.6979277602090506E-5
error = 2.6935968845418814E-5
error = 2.6892794572630164E-5
error = 2.6849754164762297E-5
error = 2.6806847006629304E-5
error = 2.6764072486791458E-5
error = 2.672142999752978E-5
error = 2.667891893481184E-5
error = 2.6636538698272856E-5
error = 2.6594288691178906E-5
error = 2.6552168320405068E-5
error = 2.651017699640767E-5
error = 2.6468314133196263E-5
error = 2.6426579148306034E-5
error = 2.6384971462773086E-5
error = 2.634349050110774E-5
error = 2.630213569126766E-5
error = 2.6260906464635154E-5
error = 2.6219802255987724E-5
error = 2.6178822503473075E-5
error = 2.613796664858989E-5
error = 2.609723413615478E-5
error = 2.605662441428315E-5
error = 2.6016136934361195E-5
error = 2.5975771151027713E-5
error = 2.593552652214322E-5
error = 2.5895402508769725E-5
error = 2.5855398575145025E-5
error = 2.5815514188664377E-5
error = 2.5775748819852933E-5
error = 2.573610194234059E-5
error = 2.5696573032846227E-5
error = 2.565716157115063E-5
error = 2.561786704007373E-5
error = 2.5578688925454632E-5
